,conversation,speaker,backchannel_given,backchannel_recieved
0,4627ba77-c545-43cc-89a9-7c10184051c4,5c228e5c867f660001ad66be,109,136
1,4627ba77-c545-43cc-89a9-7c10184051c4,5ebabe2f4d32da02ed3a6915,136,109
0,54a86d58-43cb-4c78-b967-de4f865f2006,57950da04a84da00014c5dbb,148,115
1,54a86d58-43cb-4c78-b967-de4f865f2006,5d30a875ad3457001743fbc9,115,148
0,19313347-d014-4c87-bc6c-9823d2a64bc5,5dd61a909ca8a35c14d8d610,90,193
1,19313347-d014-4c87-bc6c-9823d2a64bc5,5e11882114ae638303c715d9,193,90
0,911bdf35-886c-451d-a26e-7b841cb17806,5d49b7be18ecc30017428cd2,61,201
1,911bdf35-886c-451d-a26e-7b841cb17806,5ec453f93ba6b432bdf01d58,201,61
0,5f968cf3-3b7f-4aef-9952-6be9e9f31db9,5ec8a23062738338f917576a,111,145
1,5f968cf3-3b7f-4aef-9952-6be9e9f31db9,5f1f2cf5a441a30fa1b79b2d,145,111
0,23d4ec0e-9357-400e-ba97-386dcd264a9d,5e531b2205acdb33c0f5f24c,39,125
1,23d4ec0e-9357-400e-ba97-386dcd264a9d,5ee91d6e634e8e1290804250,125,39
0,e3f0d38b-da8c-4727-b383-d48576385585,5df15bc3361a8506b94f79ed,170,104
1,e3f0d38b-da8c-4727-b383-d48576385585,5eab81a183d00517ecc69645,104,170
0,32e6806f-7402-4615-b02f-98d39af02b34,5e6cade3d92ffb26677dbd84,76,343
1,32e6806f-7402-4615-b02f-98d39af02b34,5f67f123a9151c4484c6e1f4,343,76
0,1e113df7-07f6-4d1a-b5ed-c401e230f4cb,5c284e0970d93a0001211e16,116,194
1,1e113df7-07f6-4d1a-b5ed-c401e230f4cb,5ef6bb87b83f3b000a3f04ae,194,116
0,eb326986-325e-4f6b-b895-82a1f577c797,5ee69c554039c841faafb13d,211,63
1,eb326986-325e-4f6b-b895-82a1f577c797,5eea95eb104faf15face3b81,63,211
0,d37f95f5-973e-4f04-b270-9a5663af6f3b,5c8be0dd542fbd0016924f5f,138,109
1,d37f95f5-973e-4f04-b270-9a5663af6f3b,5f14c40b8a043d54837e0601,109,138
0,bc13c3ce-399c-4db4-bbd8-a6f21da2ad6e,558b7b06fdf99b21155f2c1b,179,99
1,bc13c3ce-399c-4db4-bbd8-a6f21da2ad6e,5ec2feeb47c4471339d3b2ce,99,179
0,916eeff0-81eb-4b23-a80f-395a73209388, 5c2805401d4eb70001177bfc,139,186
1,916eeff0-81eb-4b23-a80f-395a73209388,5dde8fba82f458000c8c7c75,186,139
0,8579117f-bc62-4472-a9d6-731b627f4ed0,5eb1f6fc96a926357133cbb1,263,146
1,8579117f-bc62-4472-a9d6-731b627f4ed0,5ee2b44f470fa7446a470c8d,146,263
